         q                   u
  0.46177031E+03     -0.36111067E-01
  0.46213199E+03     -0.36218037E-01
  0.46249216E+03     -0.36324768E-01
  0.46285084E+03     -0.36431263E-01
  0.46320802E+03     -0.36537524E-01
  0.46356371E+03     -0.36643547E-01
  0.46391791E+03     -0.36749333E-01
  0.46427062E+03     -0.36854881E-01
  0.46462186E+03     -0.36962076E-01
  0.46497162E+03     -0.37070167E-01
  0.46531990E+03     -0.37178029E-01
  0.46566670E+03     -0.37285647E-01
  0.46601204E+03     -0.37393021E-01
  0.46635591E+03     -0.37500148E-01
  0.46669832E+03     -0.37607029E-01
  0.46703927E+03     -0.37713662E-01
  0.46737876E+03     -0.37820042E-01
  0.46771679E+03     -0.37926169E-01
  0.46805338E+03     -0.38032040E-01
  0.46838852E+03     -0.38138671E-01
  0.46872221E+03     -0.38246248E-01
  0.46905447E+03     -0.38353967E-01
  0.46938528E+03     -0.38461893E-01
  0.46971466E+03     -0.38569549E-01
  0.47004261E+03     -0.38676947E-01
  0.47036912E+03     -0.38784085E-01
  0.47069422E+03     -0.38890961E-01
  0.47101788E+03     -0.38997572E-01
  0.47134013E+03     -0.39103917E-01
  0.47166097E+03     -0.39209994E-01
  0.47198039E+03     -0.39315799E-01
  0.47229840E+03     -0.39421331E-01
  0.47261500E+03     -0.39526589E-01
  0.47293020E+03     -0.39631569E-01
  0.47324400E+03     -0.39738034E-01
  0.47355640E+03     -0.39844326E-01
  0.47386740E+03     -0.39950340E-01
  0.47417701E+03     -0.40056082E-01
  0.47448524E+03     -0.40161549E-01
  0.47479208E+03     -0.40266739E-01
  0.47509754E+03     -0.40371652E-01
  0.47540162E+03     -0.40476282E-01
  0.47570432E+03     -0.40580631E-01
  0.47600565E+03     -0.40684694E-01
  0.47630561E+03     -0.40788473E-01
  0.47660420E+03     -0.40891962E-01
  0.47690143E+03     -0.40995161E-01
  0.47719730E+03     -0.41098068E-01
  0.47749182E+03     -0.41200682E-01
  0.47778498E+03     -0.41303000E-01
  0.47807678E+03     -0.41405021E-01
  0.47836724E+03     -0.41506744E-01
  0.47865636E+03     -0.41608165E-01
  0.47894413E+03     -0.41709285E-01
  0.47923057E+03     -0.41810102E-01
  0.47951567E+03     -0.41910612E-01
  0.47979944E+03     -0.42010816E-01
  0.48008188E+03     -0.42111234E-01
  0.48036299E+03     -0.42214922E-01
  0.48064278E+03     -0.42321407E-01
  0.48092125E+03     -0.42428280E-01
  0.48119840E+03     -0.42534886E-01
  0.48147424E+03     -0.42641222E-01
  0.48174877E+03     -0.42747286E-01
  0.48202199E+03     -0.42853075E-01
  0.48229391E+03     -0.42958587E-01
  0.48256453E+03     -0.43063820E-01
  0.48283385E+03     -0.43168771E-01
  0.48310187E+03     -0.43273437E-01
  0.48336860E+03     -0.43377817E-01
  0.48363405E+03     -0.43481908E-01
  0.48389820E+03     -0.43585708E-01
  0.48416108E+03     -0.43689216E-01
  0.48442268E+03     -0.43792428E-01
  0.48468300E+03     -0.43895342E-01
  0.48494205E+03     -0.43997957E-01
  0.48519982E+03     -0.44100270E-01
  0.48545634E+03     -0.44202279E-01
  0.48571158E+03     -0.44303983E-01
  0.48596557E+03     -0.44405379E-01
  0.48621830E+03     -0.44509071E-01
  0.48646978E+03     -0.44613990E-01
  0.48672000E+03     -0.44718622E-01
  0.48696898E+03     -0.44822965E-01
  0.48721671E+03     -0.44927016E-01
  0.48746320E+03     -0.45030773E-01
  0.48770845E+03     -0.45134235E-01
  0.48795247E+03     -0.45237398E-01
  0.48819525E+03     -0.45340261E-01
  0.48843680E+03     -0.45442822E-01
  0.48867713E+03     -0.45545077E-01
  0.48891624E+03     -0.45647026E-01
  0.48915412E+03     -0.45748667E-01
  0.48939079E+03     -0.45849997E-01
  0.48962624E+03     -0.45951014E-01
  0.48986049E+03     -0.46051717E-01
  0.49009352E+03     -0.46153421E-01
  0.49032536E+03     -0.46255465E-01
  0.49055599E+03     -0.46357200E-01
  0.49078542E+03     -0.46458621E-01
  0.49101366E+03     -0.46559728E-01
  0.49124070E+03     -0.46660520E-01
  0.49146656E+03     -0.46760993E-01
  0.49169123E+03     -0.46861146E-01
  0.49191472E+03     -0.46960978E-01
  0.49213703E+03     -0.47060486E-01
  0.49235816E+03     -0.47159669E-01
  0.49257813E+03     -0.47258525E-01
  0.49279692E+03     -0.47357051E-01
  0.49301454E+03     -0.47455247E-01
  0.49323100E+03     -0.47553112E-01
  0.49344630E+03     -0.47650641E-01
  0.49366044E+03     -0.47747835E-01
  0.49387343E+03     -0.47844692E-01
  0.49408526E+03     -0.47941210E-01
  0.49429595E+03     -0.48037387E-01
  0.49450549E+03     -0.48133223E-01
  0.49471390E+03     -0.48228715E-01
  0.49492116E+03     -0.48323861E-01
  0.49512728E+03     -0.48418662E-01
  0.49533228E+03     -0.48513114E-01
  0.49553614E+03     -0.48607217E-01
  0.49573888E+03     -0.48700970E-01
  0.49594049E+03     -0.48794370E-01
  0.49614099E+03     -0.48887417E-01
  0.49634037E+03     -0.48980108E-01
  0.49653863E+03     -0.49072444E-01
  0.49673579E+03     -0.49164421E-01
  0.49693183E+03     -0.49256039E-01
  0.49712677E+03     -0.49347298E-01
  0.49732061E+03     -0.49438196E-01
  0.49751335E+03     -0.49528730E-01
  0.49770500E+03     -0.49618901E-01
  0.49789555E+03     -0.49708708E-01
  0.49808502E+03     -0.49798148E-01
  0.49827340E+03     -0.49887221E-01
  0.49846070E+03     -0.49975927E-01
  0.49864692E+03     -0.50064264E-01
  0.49883206E+03     -0.50152230E-01
  0.49901612E+03     -0.50239825E-01
  0.49919912E+03     -0.50327048E-01
  0.49938105E+03     -0.50413898E-01
  0.49956192E+03     -0.50500375E-01
  0.49974173E+03     -0.50586848E-01
  0.49992047E+03     -0.50673153E-01
  0.50009817E+03     -0.50759081E-01
  0.50027481E+03     -0.50844630E-01
  0.50045041E+03     -0.50929799E-01
  0.50062495E+03     -0.51014588E-01
  0.50079846E+03     -0.51098996E-01
  0.50097093E+03     -0.51183022E-01
  0.50114236E+03     -0.51266665E-01
  0.50131276E+03     -0.51349925E-01
  0.50148213E+03     -0.51432802E-01
  0.50165047E+03     -0.51515294E-01
  0.50181779E+03     -0.51597400E-01
  0.50198409E+03     -0.51679120E-01
  0.50214938E+03     -0.51760455E-01
  0.50231364E+03     -0.51841806E-01
  0.50247690E+03     -0.51925189E-01
  0.50263915E+03     -0.52011459E-01
  0.50280040E+03     -0.52097351E-01
