     id                xc                yc                zc                ra                vx                vy                vz     ct
    123   -1.66666667e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    3.23808945e-02    2.35012973e-02    4.40630862e-02     -1
    124   -1.19047619e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    3.64839803e-02    2.65708497e-02    2.83250532e-02     -1
    125   -7.14285714e-02   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    4.87300175e-02    4.34263965e-02    4.85539380e-02     -1
    126   -2.38095238e-02   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    2.62771992e-03    1.23923476e-02    3.17065122e-02     -1
    127    2.38095238e-02   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    4.14278036e-02    4.77003756e-02    4.01739916e-03     -1
    128    7.14285714e-02   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    9.18361275e-03    2.98231307e-02    2.85038613e-02     -1
    129    1.19047619e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    2.62167724e-02    1.34134318e-02    4.31514173e-02     -1
    130    1.66666667e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    1.74104695e-02    2.62494112e-02    4.27854602e-02     -1
    131    2.14285714e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    3.46521403e-02    2.18946874e-02    2.08438087e-02     -1
    132    2.61904762e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    2.43370864e-03    4.29471380e-03    2.45964520e-03     -1
    133    3.09523810e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    2.93716180e-02    3.66756083e-02    2.59609425e-02     -1
    134    3.57142857e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    2.34347042e-02    2.31595886e-02    2.53179213e-03     -1
    135    4.04761905e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    1.75975729e-03    2.18896060e-02    4.59581886e-02     -1
    136    4.52380952e-01   -1.87515342e-01   -4.52380952e-01    2.38095238e-02    3.13695311e-04    2.45173260e-02    8.35053614e-03     -1
    137   -4.76190476e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    3.20202075e-02    1.59451295e-02    6.05091171e-03     -1
    138   -4.28571429e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    3.60376066e-02    2.51287423e-02    3.58740424e-02     -1
    139   -3.80952381e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    1.45414679e-02    1.34551467e-03    4.92874742e-02     -1
    140   -3.33333333e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    7.69288517e-03    1.87559842e-02    2.55368854e-02     -1
    141   -2.85714286e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    4.78345389e-04    3.40812449e-03    4.74315728e-02     -1
    142   -1.90476190e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    2.13221541e-02    5.84183312e-03    1.72628658e-03     -1
    143   -1.42857143e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    2.37817993e-02    3.52134511e-02    3.84018949e-02     -1
    144   -9.52380952e-02   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    4.97427417e-02    8.64815521e-03    1.15614835e-02     -1
    145   -4.76190476e-02   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    2.27453385e-03    1.04079125e-02    3.34510895e-02     -1
    146   -5.55111512e-17   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    4.82327224e-02    1.07216078e-02    7.96841544e-03     -1
    147    4.76190476e-02   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    6.58325856e-03    4.27418153e-02    2.39135449e-02     -1
    148    9.52380952e-02   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    1.26341703e-02    2.87794219e-02    4.90422872e-02     -1
    149    1.42857143e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    4.85082127e-02    4.33208898e-02    3.87801882e-04     -1
    150    1.90476190e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    4.77956869e-02    1.01377494e-03    1.91437861e-02     -1
    151    2.38095238e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    2.33325723e-02    1.49212033e-03    2.25519106e-02     -1
    152    2.85714286e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    2.07641451e-02    2.28142744e-02    2.83937437e-02     -1
    153    3.33333333e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    2.24904317e-02    4.65960737e-02    1.36071947e-02     -1
    154    3.80952381e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    1.08923266e-02    4.63388154e-02    2.22553500e-02     -1
    155    4.28571429e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    2.24538100e-02    4.86133493e-02    3.26632625e-02     -1
    156    4.76190476e-01   -1.46276037e-01   -4.52380952e-01    2.38095238e-02    5.90489952e-03    4.68460717e-02    4.33848703e-02     -1
    157   -5.00000000e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    1.38733150e-02    3.42933026e-03    3.61266855e-02     -1
    158   -4.52380952e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    3.77868599e-02    1.60635005e-02    1.49061074e-02     -1
    159   -4.04761905e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    3.68291471e-02    1.45717132e-02    8.22699715e-03     -1
    160   -3.57142857e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    3.72169490e-02    1.23674001e-02    9.24077209e-03     -1
    161   -3.09523810e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    6.36073505e-03    3.56999724e-02    1.07328924e-02     -1
    162   -2.61904762e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    2.89126456e-02    6.46411744e-03    3.35471668e-02     -1
    163   -2.14285714e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    7.30638928e-03    2.89545491e-02    3.01432405e-02     -1
    164   -1.66666667e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    2.09135840e-02    3.98468757e-02    2.64820559e-02     -1
    165   -1.19047619e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    4.31689340e-02    1.23006857e-02    2.50954051e-02     -1
    166   -7.14285714e-02   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    2.58321964e-02    1.82055852e-02    2.19414768e-02     -1
    167   -2.38095238e-02   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    1.92170667e-02    3.20789001e-02    2.53708071e-02     -1
    168    2.38095238e-02   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    5.34375219e-03    1.98657600e-02    4.14343076e-02     -1
    169    1.19047619e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    2.02498596e-02    6.69490709e-03    6.00602082e-03     -1
    170    1.66666667e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    2.84768567e-02    4.39118561e-02    1.83734209e-02     -1
    171    2.14285714e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    3.77176288e-02    2.72591110e-04    4.07339332e-03     -1
    172    3.09523810e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    4.84505212e-02    2.91852367e-02    1.05375108e-02     -1
    173    3.57142857e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    3.19976881e-02    3.64916260e-02    3.94920599e-02     -1
    174    4.04761905e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    1.21409285e-02    7.40521001e-03    2.93389355e-02     -1
    175    4.52380952e-01   -1.05036732e-01   -4.52380952e-01    2.38095238e-02    3.86229844e-02    5.74143976e-04    4.16396212e-02     -1
    176   -4.76190476e-01   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    1.37183895e-02    2.64063404e-02    9.84520631e-03     -1
    177   -4.28571429e-01   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    3.56598664e-02    4.56234071e-02    4.19241064e-02     -1
    178   -3.80952381e-01   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    1.10306734e-02    9.67159262e-04    1.17898664e-02     -1
    179   -3.33333333e-01   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    2.46498101e-03    2.12170188e-02    1.84847735e-02     -1
    180   -2.85714286e-01   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    8.47100185e-03    4.96938756e-02    1.23966296e-02     -1
    181   -1.90476190e-01   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    2.68444228e-02    3.74115044e-02    1.26692207e-02     -1
    182   -1.42857143e-01   -6.37974268e-02   -4.52380952e-01    2.38095238e-02    3.09178161e-02    3.58620256e-02    4.18544575e-02     -1
